Date  20001101
Article  0  : ('伦敦外汇市场行情新华社伦敦', 1.0)('10月31日电', 1.0)
Article  1  : ('国', 1.0)('际市场贱金属价格新华社伦敦', 1.0)('10月31日电', 1.0)
Article  15  : ('0', 1.9350380544546524)('先', 1.4086662920638515)('越', 1.2759371626618157)('1', 1.13925310221993)
Article  16  : ('稳', 1.1372247116801302)('土', 1.0424363955061706)('国', 1.02087262900864)('赛', 1.0000000000000022)
Article  17  : ('0', 1.6510274644292535)('三', 1.2404763078702563)('问', 1.2256196470914742)('两', 1.1880433117104618)
Article  18  : ('寥', 1.225163526234731)('界', 1.1066175601389923)('的', 1.0298945655621572)('儿童', 1.0066207911778025)
Article  19  : ('兰', 1.1947710123179338)('一', 1.0797202473904826)('获', 1.0000000000000002)('女网', 1.0000000000000002)
Article  20  : ('重', 1.3035159139475625)('着', 1.2040593461955902)('曲', 1.1403320814515647)('大', 1.1035521321494162)
Article  21  : ('大', 1.3912066738021878)('9', 1.3861761820510035)('补', 1.2397114678831513)('修', 1.2256196470914742)
Article  22  : ('委', 1.060476104525471)('法律', 1.016458121676455)('的', 1.0094920336326345)('中', 1.0000000000000029)
Article  23  : ('日20时至11月', 1.0)('新华社北京11月19日电', 1.0)('11月19', 0.9999999999999999)('全国各地天气预报', 0.15000000000000002)
Article  24  : ('大', 1.1339578359636973)('家', 1.0000000000000002)('称', 1.0000000000000002)('成', 1.0000000000000002)
Article  25  : ('无形资产', 1.0000000000000009)('学', 1.0000000000000002)('术', 1.0000000000000002)('要', 1.0000000000000002)
Article  26  : ('1', 1.8320391493193902)('压', 1.4364357394727134)('自', 1.1646871882954137)('定', 1.109365736931023)
Article  27  : ('推', 1.1009404468659383)('报', 1.091731472431627)('学', 1.0617450000869233)('的', 1.0368550332015956)
Article  28  : ('高', 1.0000000000000002)('校', 1.0000000000000002)('长春市', 1.0000000000000002)('数', 1.0000000000000002)
Article  29  : ('者', 1.31980918345202)('基础', 1.144084326456809)('比', 1.133957835963697)('老年人', 1.1282848876413967)
Article  30  : ('翼', 1.2816923534192655)('街', 1.1783043316035968)('1', 1.1576578063298593)('误', 1.1490192689637417)
Article  31  : ('烟', 1.2158903810582924)('产', 1.1632303992070618)('智能', 1.0000000000000007)('沈阳', 1.0000000000000007)
Article  32  : ('重点城市空气质量日报新华社北京11月', 1.0)('19日电', 1.0)
Article  33  : ('行', 1.0881543112158483)('无', 1.0000000000000004)('政', 1.0000000000000004)('对', 1.0000000000000004)
Article  34  : ('萨', 1.2142180540212837)('将在', 1.0000000000000004)('城区', 1.0000000000000004)('长', 1.0000000000000004)
Article  35  : ('圈', 1.2222078536942875)('学', 1.0000000000000038)('科', 1.0000000000000018)('球', 1.0000000000000004)
Article  36  : ('9', 1.378655356946986)('0', 1.33450911306641)('相互', 1.1432923095837448)('制', 1.0410422656748257)
Article  37  : ('律师', 1.0729397131351393)('的', 1.0658712793794434)('法', 1.0641340546624038)('律师制度', 1.0000000000000009)
Article  38  : ('出', 1.0000000000000002)('座谈会', 1.0000000000000002)('暨', 1.0000000000000002)('赠', 1.0000000000000002)
Article  39  : ('一', 1.0803377054927858)('的', 1.0000000000000004)('成立新华社', 1.0000000000000002)('于', 1.0000000000000002)
Article  40  : ('斯', 1.4353553652307072)('阿', 1.15068851079424)('克', 1.0000000000000007)('勒', 1.0000000000000007)
Article  41  : ('1', 1.0994894281839473)('对大', 1.0000000000000004)('制造业', 1.0000000000000004)('今', 1.0000000000000002)
Article  42  : ('副', 1.0000000000000007)('哥斯达黎加', 1.0000000000000004)('连', 1.0000000000000004)('抢', 1.0000000000000004)
Article  43  : ('舍', 1.1027578330772816)('克', 1.0935446278452847)('国', 1.0554494490944255)('1', 1.0429761714438623)
Article  44  : ('9', 1.213461222498428)('1', 1.1859105674209596)('员', 1.0000000000000007)('健力宝', 1.0000000000000004)
Article  45  : ('0', 1.4011128096720173)('1', 1.0968643599715826)('开', 1.0000000000000004)('赛', 1.0000000000000004)
Article  46  : ('亚洲', 1.0000000000000004)('国', 1.0000000000000004)('中', 1.0000000000000004)('前', 1.0000000000000004)
Article  47  : ('价值', 1.3147056972754168)('0', 1.280141737127493)('季奥运会', 1.1783043316035968)('会', 1.0230140924432616)
Article  48  : ('0', 1.5970428849896394)('事', 1.4010404610339509)('党', 1.0412648584687665)('的', 1.0000000000000053)
Article  49  : ('满意', 1.3333008464077174)('拥护', 1.221949953139007)('越', 1.1590393034145232)('兴', 1.1451306959685166)
Article  50  : ('考', 1.167577741207233)('一', 1.1315847922802913)('中', 1.121253191749318)('监狱人民警察', 1.0959663883617499)
Article  51  : ('1', 1.217019877456524)('9', 1.191527956546638)('富', 1.1655085862373633)('监督', 1.1578634256658273)
Article  52  : ('1', 1.1666209999492168)('0', 1.1037947426270445)('对', 1.0298682243959858)('青少年', 1.0000000000000004)
Article  53  : ('行', 1.2759371626618157)('1', 1.2307869227883832)('和', 1.0000000000000004)('是', 1.0000000000000004)
Article  54  : ('的', 1.000000000000002)('1', 1.0000000000000013)('日', 1.0000000000000009)('国', 1.0000000000000002)
Article  55  : ('操', 1.0000000000000002)('团体冠军', 1.0000000000000002)('新华社巴黎11月1', 1.0000000000000002)('8', 1.0000000000000002)
Article  56  : ('在', 1.0000000000000009)('中', 1.0000000000000004)('亚', 1.0000000000000004)('一', 1.0000000000000004)
Article  57  : ('李', 1.0000000000000007)('代表', 1.0000000000000004)('浙江', 1.0000000000000004)('并', 1.0000000000000004)
Article  58  : ('0', 1.2513297478589647)('殷', 1.2256196470914742)('山', 1.203246999287068)('高', 1.1155260587340594)
Article  59  : ('2', 1.4450538613260506)('0', 1.1379095099453966)('有', 1.0000000000000002)('18个', 1.0000000000000002)
Article  60  : ('座', 1.1919678047302678)('0', 1.0706323382539435)('国', 1.0000000000000004)('1', 1.0000000000000002)
Article  61  : ('经济', 1.0000000000000004)('际', 1.0000000000000002)('石油', 1.0000000000000002)('仍', 1.0000000000000002)
Article  62  : ('部', 1.243906952307123)('抵达', 1.0000000000000002)('日抵达', 1.0000000000000002)('瓦', 1.0000000000000002)
Article  63  : ('调查', 1.0000000000000009)('8', 1.0000000000000004)('当天上午', 1.0000000000000004)('巴', 1.0000000000000004)
Article  64  : ('科技', 1.0000000000000004)('与', 1.0000000000000004)('德', 1.0000000000000002)('内', 1.0000000000000002)
Article  65  : ('1', 1.1280726670553924)('庆祝', 1.0000000000000004)('加', 1.0000000000000004)('统', 1.0000000000000004)
Article  66  : ('五', 1.0000000000000004)('河', 1.0000000000000004)('及', 1.0000000000000004)('东', 1.0000000000000002)
Article  67  : ('古', 1.5277520576131685)('毛', 1.2513297478589647)('拉', 1.1751072714709394)('队', 1.093540557142488)
Article  68  : ('奖', 1.2090441475707474)('国', 1.1834443874551566)('开罗', 1.0000000000000007)('节', 1.0000000000000007)
Article  69  : ('国', 1.0790639374898179)('的', 1.0000000000000009)('其', 1.0000000000000004)('法', 1.0000000000000002)
Article  70  : ('周', 1.1609772059158519)('的', 1.059275430105473)('教练', 1.0000000000000009)('范志毅', 1.0000000000000004)
Article  71  : ('员', 1.2411195294304898)('委', 1.089702856135477)('运', 1.000000000000001)('路易斯', 1.0000000000000009)
Article  72  : ('开', 1.0000000000000004)('速度滑冰', 1.0000000000000004)('赛', 1.0000000000000004)('曼', 1.0000000000000004)
Article  73  : ('一', 1.0949511269209034)('开', 1.0000000000000004)('在', 1.0000000000000002)('攻', 1.0000000000000002)
Article  74  : ('0', 1.2747402912184325)('会', 1.0503003044820407)('奥', 1.0000000000000004)('说', 1.0000000000000002)
Article  75  : ('0', 1.214218054021284)('坚', 1.0000000000000004)('转会', 1.0000000000000004)('意', 1.0000000000000002)
Article  76  : ('人', 1.2439069523071227)('青少年', 1.0000000000000004)('和', 1.0000000000000002)('一', 1.0000000000000002)
Article  77  : ('难', 1.4364357394727134)('1', 1.1175501372682946)('比', 1.0374642079482979)('了', 1.0000000000000004)
Article  78  : ('0', 1.170793900646448)('的', 1.1490937364776435)('一', 1.1087872366256295)('谭', 1.0000000000000009)
Article  79  : ('部', 1.1935062448650746)('和', 1.0636675290076907)('越', 1.0303127442139755)('南', 1.0123422045510633)
Article  80  : ('所', 1.2759371626618157)('越', 1.0000000000000013)('总书记黎可漂', 1.0000000000000004)('人', 1.0000000000000004)
Article  81  : ('0', 1.467086345715137)('2', 1.4450538613260506)('越', 1.2805034801605444)('1', 1.1027419357298585)
Article  82  : ('选手', 1.0000000000000007)('安妮', 1.0000000000000002)('俄罗斯选手', 1.0000000000000002)('今', 1.0000000000000002)
Article  83  : ('一', 1.3543638207210904)('的', 1.2306867361806255)('0', 1.185991446851808)('谭', 1.0000000000000007)
Article  84  : ('国', 1.0000000000000002)('新', 1.0000000000000002)('收到', 1.0000000000000002)('法塔赫', 1.0000000000000002)
Article  85  : ('浪', 1.6667772270010213)('振', 1.1339578359636968)('生', 1.0468197737264402)('时', 1.0000000000000004)
Article  86  : ('用', 1.0000000000000004)('法', 1.0000000000000004)('大力推', 1.0000000000000002)('国家海洋局', 1.0000000000000002)
Article  87  : ('0', 1.2178376658406245)('者', 1.0000000000000004)('敞开', 1.0000000000000002)('欢迎', 1.0000000000000002)
Article  88  : ('统', 1.197752889689518)('的', 1.0000000000000007)('军', 1.0000000000000004)('上', 1.0000000000000004)
Article  89  : ('责任', 1.5654539255089166)('年', 1.1801749271137023)('承包', 1.1693018488578488)('本', 1.134001132480274)
Article  90  : ('投资', 1.2325787753568738)('1', 1.2315707829129616)('收', 1.2245933226417849)('拍卖', 1.0000000000000007)
Article  91  : ('有', 1.1408490718937538)('水', 1.0319890672702259)('的', 1.0000000000000007)('成', 1.0000000000000004)
Article  92  : ('国', 1.202524515661094)('有', 1.1019255241863513)('发', 1.0000000000000004)('可', 1.0000000000000004)
Article  93  : ('7', 1.3593026782891242)('1', 1.1397358626628609)('产', 1.0464011998504483)('的', 1.000000000000001)
Article  94  : ('又', 1.1997357515569949)('干扰', 1.1776103047530406)('次', 1.1579499999999991)('步', 1.1483117946474029)
Article  95  : ('寨', 1.1423906091859104)('富', 1.0234622427586626)('致富', 1.0000000000000007)('群众', 1.0000000000000004)
Article  96  : ('大', 1.009670781893004)('九', 1.0000000000000007)('交', 1.0000000000000004)('近', 1.0000000000000002)
Article  97  : ('与', 1.0000000000000009)('新', 1.0000000000000007)('攻坚', 1.0000000000000002)('技术监督局', 1.0000000000000002)
Article  98  : ('技术', 1.0852145383435325)('进', 1.0450541076055482)('军', 1.0412719726562496)('护理', 1.0368902784351262)
Article  99  : ('太原', 1.0000000000000002)('集', 1.0000000000000002)('严重', 1.0000000000000002)('保', 1.0000000000000002)
Article  100  : ('9', 1.521717026724186)('殷', 1.406885788675221)('麻', 1.2940999240048392)('争论', 1.264730314064634)
Article  101  : ('盒', 1.2661266776598183)('班', 1.2494445287344698)('精品', 1.2136157339920093)('角', 1.1846515204234924)
Article  102  : ('自己', 1.3147056972754168)('班', 1.1825532350034826)('种', 1.113804550089381)('或', 1.107121399080259)
Article  103  : ('产业结构调整', 1.0000000000000004)('刘', 1.0000000000000004)('贵阳', 1.0000000000000002)('新华社贵阳11月', 1.0000000000000002)
Article  104  : ('9', 1.3681990042525631)('1', 1.1057385688025858)('公', 1.0000000000000007)('加快', 1.0000000000000002)
Article  105  : ('0', 1.1836675181985497)('并', 1.0000000000000004)('沈阳', 1.0000000000000002)('现', 1.0000000000000002)
Article  106  : ('井', 1.1339578359636968)('自', 1.1038433849841474)('里', 1.0000000000000009)('战乱', 1.0000000000000007)
Article  107  : ('国', 1.3243112949687477)('0', 1.2027778238299587)('9', 1.1986378171258003)('2', 1.1142324142842763)
Article  108  : ('郊', 1.3548007383806204)('2', 1.3035159139475625)('将', 1.0000000000000004)('历', 1.0000000000000002)
Article  109  : ('农', 1.0000000000000009)('年', 1.0000000000000004)('地', 1.0000000000000004)('时', 1.0000000000000002)
Article  110  : ('黄', 1.0000000000000007)('被列入', 1.0000000000000002)('西北部', 1.0000000000000002)('藏族', 1.0000000000000002)
Article  111  : ('业', 1.1655085862373633)('户', 1.0455078125000001)('受灾', 1.0000000000000004)('收', 1.0000000000000002)
Article  112  : ('青', 1.0000000000000004)('油气勘探', 1.0000000000000002)('开', 1.0000000000000002)('目', 1.0000000000000002)
Article  113  : ('1', 1.0183010555760565)('前10个月', 1.0000000000000002)('东', 1.0000000000000002)('的最新统计', 1.0000000000000002)
Article  114  : ('保护', 1.0000000000000004)('开展', 1.0000000000000002)('森林资源', 1.0000000000000002)('百', 1.0000000000000002)
Article  115  : ('2', 1.217231091252417)('0', 1.1129931628600571)('今', 1.0000000000000007)('调整', 1.0000000000000004)
Article  116  : ('海', 1.0000000000000002)('城', 1.0000000000000002)('经审', 1.0000000000000002)('不得', 1.0000000000000002)
Article  117  : ('年', 1.0330255600011844)('专', 1.000000000000001)('科', 1.0000000000000004)('东', 1.0000000000000002)
Article  118  : ('0', 1.5259698727216104)('生活方式', 1.0000000000000004)('2', 1.0000000000000004)('吃', 1.0000000000000004)
Article  119  : ('业', 1.0913769987243882)('在上海', 1.0000000000000004)('灌溉', 1.0000000000000004)('取得重大突破', 1.0000000000000002)
Article  120  : ('5', 1.2513297478589644)('一', 1.2017549653790085)('成', 1.0000000000000004)('区', 1.0000000000000004)
Article  121  : ('植物', 1.1463163398076792)('雕', 1.0624250422238926)('一', 1.0270692334439155)('发', 1.0000000000000007)
Article  122  : ('原', 1.5277520576131685)('立', 1.5277520576131685)('不', 1.2647227465895157)('搞', 1.0880573410136245)
Article  123  : ('种', 1.19326171875)('5', 1.1883447850434925)('0', 1.133470507544581)('全球变暖的', 1.0000000000000004)
Article  124  : ('分', 1.1783043316035968)('太阳', 1.0000000000000002)('新华社东京11月1', 1.0000000000000002)('9日电', 1.0000000000000002)
Article  125  : ('环境', 1.0830866890270807)('的', 1.0000000000000007)('用', 1.0000000000000004)('女性', 1.0000000000000002)
Date  20001120
Article  0  : ('尔', 1.259182510742006)('1', 1.0647869639856793)('2', 1.0603882185961953)('的', 1.0000000000000013)
Article  1  : ('谁', 1.1977528896895182)('获得', 1.0000000000000007)('今', 1.0000000000000004)('巴黎网球公开赛', 1.0000000000000002)
Article  2  : ('0', 1.5331541126283845)('2', 1.0000000000000007)('举', 1.0000000000000004)('重', 1.0000000000000004)
Article  3  : ('0', 1.1968906424648877)('不', 1.0880573410136245)('是', 1.0000000000000004)('的任务', 1.0000000000000002)
Article  4  : ('节', 1.2661266776598181)('小将', 1.0000000000000004)('网', 1.0000000000000004)('阿', 1.0000000000000004)
Article  5  : ('女子网球', 1.0000000000000002)('选手', 1.0000000000000002)('最新排名', 1.0000000000000002)('日', 1.0000000000000002)
Article  6  : ('辩论', 1.0000000000000007)('在野', 1.0000000000000004)('对在', 1.0000000000000002)('而', 1.0000000000000002)
Article  7  : ('合', 1.1709362393944012)('国', 1.0000000000000009)('的', 1.0000000000000007)('摩洛哥', 1.0000000000000004)
Article  8  : ('0', 1.3546190942976564)('比', 1.0000000000000004)('区', 1.0000000000000002)('巡回', 1.0000000000000002)
Article  9  : ('0', 1.3308825315840618)('1', 1.0913595398272942)('武', 1.0000000000000053)('德', 1.0000000000000004)
Article  10  : ('平', 1.2816923534192657)('站', 1.2304664723032064)('1', 1.1278408132599387)('的', 1.000000000000002)
Article  11  : ('克', 2.329600694444444)('职', 1.0000000000000007)('国', 1.0000000000000004)('业', 1.0000000000000002)
Article  12  : ('0', 2.056184705143829)('徐', 1.2747878600823044)('展', 1.0494276800820097)('的', 1.0000000000000027)
Article  13  : ('0', 1.5959473610362103)('在', 1.0000000000000007)('签', 1.0000000000000004)('河', 1.0000000000000002)
Article  14  : ('主体', 1.198060129859456)('河', 1.0000000000000002)('南', 1.0000000000000002)('成果交易会', 1.0000000000000002)
Article  15  : ('日本共产党', 1.0000000000000007)('大', 1.0000000000000004)('冈', 1.0000000000000002)('将主要', 1.0000000000000002)
Article  16  : ('和', 1.0544247329235084)('在', 1.020100669254663)('国', 1.000000000000001)('朝鲜', 1.0000000000000007)
Article  17  : ('敦促', 1.0000000000000004)('尔', 1.0000000000000004)('2', 1.0000000000000004)('新', 1.0000000000000002)
Article  18  : ('妇女', 1.0000000000000007)('后', 1.0000000000000004)('保障', 1.0000000000000004)('会闭幕', 1.0000000000000002)
Article  19  : ('0', 1.0925028314492617)('儿童', 1.0000000000000016)('侵犯', 1.0000000000000004)('土耳其', 1.0000000000000002)
Article  20  : ('0', 1.8080204821266321)('1', 1.1683593749999999)('文', 1.1585443525484396)('年', 1.0000000000000007)
Article  21  : ('男', 1.0000000000000002)('子网球', 1.0000000000000002)('选手', 1.0000000000000002)('世界', 1.0)
Article  22  : ('武', 1.0000000000000013)('术', 1.0000000000000009)('新华社合肥11月2', 1.0000000000000002)('0', 1.0000000000000002)
Article  23  : ('1', 1.033449074074074)('犯罪团伙', 1.0000000000000004)('一', 1.0000000000000002)('国', 1.0000000000000002)
Article  24  : ('0', 1.5996086755033714)('影', 1.0000000000000007)('中国电影', 1.0000000000000004)('电影市场', 1.0000000000000002)
Article  25  : ('国', 1.1172885252351796)('担任', 1.0000000000000004)('在沪', 1.0000000000000002)('幕', 1.0000000000000002)
Article  26  : ('工', 1.0000000000000004)('国', 1.0000000000000002)('的', 1.0000000000000002)('经', 1.0000000000000002)
Article  27  : ('自民党', 1.0000000000000004)('20日晚', 1.0000000000000002)('众议院', 1.0000000000000002)('有2', 1.0000000000000002)
Article  28  : ('0', 1.3717569030893517)('4', 1.0428050568901646)('的', 1.0000000000000009)('出', 1.0000000000000007)
Article  29  : ('人', 1.1113171915826485)('邵炜刚', 1.0000000000000004)('第', 1.0000000000000002)('以', 1.0000000000000002)
Article  30  : ('今', 1.0000000000000004)('中国棋院', 1.0000000000000002)('行', 1.0000000000000002)('长', 1.0000000000000002)
Article  31  : ('学', 1.146445352063078)('武', 1.0000000000000004)('美', 1.0000000000000004)('教学', 1.0000000000000004)
Article  32  : ('在', 1.0000000000000007)('人寿保险', 1.0000000000000004)('兴', 1.0000000000000002)('保障', 1.0000000000000002)
Article  33  : ('全', 1.2027777777777766)('腾', 1.1189179683787511)('边防', 1.1107663270332238)('团', 1.0726716531436498)
Article  34  : ('性', 1.1123209364514377)('多', 1.085791402010228)('自', 1.0533365811333637)('国', 1.0439214637148688)
Article  35  : ('今', 1.0000000000000002)('见', 1.0000000000000002)('了', 1.0000000000000002)('第', 1.0000000000000002)
Article  36  : ('会', 1.0000000000000004)('高', 1.0000000000000004)('今', 1.0000000000000004)('种族主义', 1.0000000000000004)
Article  37  : ('业', 1.0000000000000018)('农', 1.0000000000000004)('成', 1.0000000000000004)('河', 1.0000000000000004)
Article  38  : ('作', 1.2027777777777766)('办案', 1.1933537891748196)('法', 1.0713484198613306)('民', 1.065165004509189)
Article  39  : ('0', 1.6276844587704014)('黄河', 1.0000000000000004)('日本政府', 1.0000000000000002)('贷款', 1.0000000000000002)
Article  40  : ('区', 1.0000000000000004)('发', 1.0000000000000002)('现', 1.0000000000000002)('气', 1.0000000000000002)
Article  41  : ('1', 1.2178376658406245)('的', 1.0000000000000009)('正式', 1.0000000000000007)('参议院', 1.0000000000000004)
Article  42  : ('车', 1.189539227269392)('裸', 1.1443525295232544)('以色列', 1.0000000000000002)('朝', 1.0000000000000002)
Article  43  : ('谴责', 1.0000000000000007)('巴民族权力机构', 1.0000000000000004)('官方', 1.0000000000000002)('巴勒斯坦民族权力机构', 1.0000000000000002)
Article  44  : ('严', 1.0000000000000002)('防', 1.0000000000000002)('政府', 1.0000000000000002)('日前', 1.0000000000000002)
Article  45  : ('赛', 1.1562126261953711)('一', 1.1223479574368087)('2', 1.0719341496091888)('上', 1.0000000000000002)
Article  46  : ('第', 1.0000000000000004)('邱', 1.0000000000000004)('赛事', 1.0000000000000002)('全', 1.0000000000000002)
Article  47  : ('业', 1.0477134846237193)('7', 1.0000000000000004)('最', 1.0000000000000002)('新', 1.0000000000000002)
Article  48  : ('0', 1.1802179151134733)('1', 1.1376496296296288)('江', 1.0000000000000002)('约4', 1.0000000000000002)
Article  49  : ('技术', 1.1773774567034234)('有', 1.0000000000000009)('约', 1.0000000000000004)('次', 1.0000000000000004)
Article  50  : ('0', 1.648968402547345)('企业', 1.0000000000000004)('这', 1.0000000000000004)('市', 1.0000000000000002)
Article  51  : ('引', 1.0000000000000004)('数量', 1.0000000000000002)('落户', 1.0000000000000002)('新华社上海11月2', 1.0000000000000002)
Article  52  : ('1', 1.1905203666568556)('公', 1.038076490580346)('章', 1.0226110404847708)('民', 1.0000000000000004)
Article  53  : ('罪', 1.2043331795310421)('1', 1.1506314012127266)('全', 1.1077467446329456)('驾驶', 1.074532972269054)
Article  54  : ('情况', 1.3200709791754934)('他', 1.0000000000000007)('京', 1.0000000000000002)('5', 1.0000000000000002)
Article  55  : ('国', 1.078685489607484)('中', 1.000000000000001)('许', 1.0000000000000004)('已', 1.0000000000000004)
Article  56  : ('在', 1.0000000000000002)('新华社北京11月20日电', 1.0000000000000002)('国', 1.0000000000000002)('人', 1.0000000000000002)
Article  57  : ('2', 1.250772689595609)('查', 1.0000000000000009)('发', 1.0000000000000007)('一', 1.0000000000000002)
Article  58  : ('日20时至11月', 1.0)('新华社北京11月20日电', 1.0)('1月20', 0.9999999999999999)('1', 0.9999999999999998)
Article  59  : ('0', 1.552616350039035)('方向', 1.2069673328473913)('改', 1.1455058840616221)('商', 1.0000000000000042)
Article  60  : ('0', 1.2513297478589644)('作', 1.1802631839907973)('资', 1.000000000000002)('金', 1.0000000000000013)
Article  61  : ('0', 1.2914381239149297)('9', 1.2028208738484611)('的', 1.0413835665789906)('品', 1.000000000000001)
Article  62  : ('4', 1.3656092360153491)('评估', 1.0684996842073355)('一', 1.0000000000000002)('年', 1.0000000000000002)
Article  63  : ('学', 1.031232853223592)('国际研讨会', 1.0000000000000002)('80多', 1.0000000000000002)('家', 1.0000000000000002)
Article  64  : ('严厉', 1.0000000000000004)('巴拉克', 1.0000000000000002)('爆炸事件', 1.0000000000000002)('新华社耶路撒冷11月2', 1.0000000000000002)
Article  65  : ('重点城市空气质量状况新华社北京11月', 1.0)('20日电', 1.0)
Article  66  : ('今日新华股价指数新华社北京11月', 1.0)('20日电', 1.0)
Article  67  : ('工', 1.000000000000002)('业', 1.000000000000001)('色', 1.0000000000000007)('西', 1.0000000000000002)
Article  68  : ('来', 1.2759371626618157)('4', 1.133957835963697)('新华社郑州11月2', 1.0000000000000002)('日', 1.0000000000000002)
Article  69  : ('0', 1.3004050440289574)('1', 1.001151630359841)('农', 1.0000000000000002)('用', 1.0000000000000002)
Article  70  : ('东', 1.1734)('向', 1.143591527145285)('山', 1.0783595833562578)('板块', 1.0000000000000016)
Article  71  : ('1', 1.1847521620391437)('督查', 1.0000000000000004)('以', 1.0000000000000004)('铁', 1.0000000000000002)
Article  72  : ('大', 1.0000000000000004)('宣传', 1.0000000000000002)('新华社拉萨11月2', 1.0000000000000002)('日', 1.0000000000000002)
Article  73  : ('9', 2.650451025270387)('0', 1.285335668612935)('分', 1.040730231296179)('度', 1.0000000000000007)
Article  74  : ('1', 1.214218054021284)('的', 1.1008504424267909)('美', 1.0000000000000002)('药', 1.0000000000000002)
Article  75  : ('疾病', 1.1980601298594553)('优', 1.0363933434004782)('生', 1.000000000000003)('天', 1.0000000000000007)
Article  76  : ('0', 2.185199065173377)('2', 1.1310016957310065)('包头市', 1.0000000000000004)('新华社呼和浩特11月2', 1.0000000000000002)
Article  77  : ('宁', 1.0000000000000004)('2', 1.0000000000000004)('新华社成都11月2', 1.0000000000000002)('人', 1.0000000000000002)
Article  78  : ('发', 1.0000000000000004)('现', 1.0000000000000004)('峡', 1.0000000000000002)('画', 1.0000000000000002)
Article  79  : ('巴基斯坦', 1.0000000000000004)('军', 1.0000000000000004)('总', 1.0000000000000004)('有', 1.0000000000000004)
Article  80  : ('和', 1.0000000000000007)('不信任案', 1.0000000000000004)('四个', 1.0000000000000002)('在野', 1.0000000000000002)
Article  81  : ('的', 1.1267219113246396)('一', 1.0623219634359276)('和', 1.0000000000000007)('杨汝岱', 1.0000000000000007)
Article  82  : ('在加沙', 1.0000000000000002)('被炸', 1.0000000000000002)('造', 1.0000000000000002)('当', 1.0000000000000002)
Article  83  : ('1', 1.3115950117692352)('2', 1.0945535922217196)('4', 1.0913506283515215)('世界杯', 1.0000000000000004)
Article  84  : ('1', 1.151077917674644)('武', 1.0000000000000022)('术', 1.0000000000000009)('新华社合肥11月2', 1.0000000000000002)
Article  85  : ('术', 1.000000000000001)('表彰', 1.0000000000000002)('0', 1.0000000000000002)('日', 1.0000000000000002)
Article  86  : ('9', 1.458089809217698)('的', 1.000000000000002)('议', 1.0000000000000004)('去', 1.0000000000000004)
Article  87  : ('规', 1.155449771721912)('共', 1.0000000000000018)('管', 1.0000000000000018)('防', 1.0000000000000016)
Article  88  : ('t', 1.5134288233955397)('/', 1.3010416666666664)('s', 1.2465087217597195)('p', 1.2451960542661669)
Article  89  : ('9', 1.5342920580720087)('8', 1.1715597509659075)('费', 1.0000000000000002)('入', 1.0000000000000002)
Article  90  : ('0', 1.6990018849470998)('洪', 1.3493593331404783)('分', 1.1596611487713784)('防', 1.0920277836218275)
Article  91  : ('洪', 1.2256196470914742)('太多', 1.145505884061622)('场', 1.0000000000000007)('标准', 1.0000000000000004)
Article  92  : ('要', 1.0000000000000004)('开始', 1.0000000000000002)('查', 1.0000000000000002)('制售假冒伪劣', 1.0000000000000002)
Article  93  : ('越', 1.5277520576131685)('价', 1.3147056972754168)('活', 1.309931687242798)('的', 1.0000000000000004)
Article  94  : ('0', 1.5050712471444592)('1', 1.2095512404489854)('会', 1.1053339623147804)('执', 1.0000000000000004)
Article  95  : ('1', 1.3921561716619453)('元', 1.2884928971987235)('接受', 1.0000000000000002)('计', 1.0000000000000002)
Article  96  : ('离', 1.1118207260745698)('年', 1.0439643988338185)('剑', 1.0000000000000002)('实', 1.0000000000000002)
Article  97  : ('生', 1.0000000000000016)('建', 1.0000000000000004)('行', 1.0000000000000004)('针', 1.0000000000000002)
Article  98  : ('了', 1.0663139107396102)('队', 1.000000000000001)('青', 1.0000000000000009)('主', 1.0000000000000004)
Article  99  : ('连', 1.1563085286532881)('跌', 1.127578700298682)('投资', 1.0000000000000004)('股', 1.0000000000000002)
Article  100  : ('年', 1.272131144615364)('了', 1.129750463701787)('部', 1.0340729809973903)('关', 1.0000000000000018)
Article  101  : ('收', 1.2101199412898271)('人', 1.0944813249999998)('有', 1.0000000000000013)('依', 1.0000000000000004)
Article  102  : ('计', 1.0604976840096576)('审', 1.0472413348494403)('企业', 1.0000000000000004)('资', 1.0000000000000004)
Article  103  : ('了', 1.0771932091521128)('社', 1.0000000000000002)('朱', 1.0000000000000002)('冬', 1.0000000000000002)
Article  104  : ('沙', 1.0347584536381642)('━', 1.0000000000000002)('会', 1.0000000000000002)('在京举行', 1.0000000000000002)
Article  105  : ('0', 2.232276351583346)('新', 1.0000000000000002)('南', 1.0000000000000002)('纬', 1.0000000000000002)
Article  106  : ('给予', 1.0000000000000009)('的', 1.0000000000000009)('授', 1.0000000000000004)('业', 1.0000000000000004)
Article  107  : ('9', 1.4449569789376868)('0', 1.2612059295615863)('大', 1.1095582565192113)('长', 1.0000000000000009)
Article  108  : ('全面清理', 1.0000000000000004)('政府职能部门', 1.0000000000000004)('上', 1.0000000000000004)('日', 1.0000000000000002)
Article  109  : ('世界', 1.0000000000000004)('人', 1.0000000000000004)('第', 1.0000000000000002)('在', 1.0000000000000002)
Article  110  : ('9', 1.9343642218675103)('职', 1.0893416328586123)('年', 1.0353620721912096)('培训', 1.028901961975576)
Article  111  : ('国', 1.142102485934748)('和新西兰', 1.0000000000000004)('签署', 1.0000000000000004)('无', 1.0000000000000002)
